no,sub,name,sub_name,area,omosa,takasa,sex,bunrui,tokusei_1,tokusei_2,type_1,type_2,text_1,text_2,text_3,spec_hp,spec_kougeki,spec_bougyo,spec_tokukou,spec_tokubou,spec_subayasa,sugata_text_flg,sugata_text,mega_flg,genshi_flg,kyodai_flg,image_l,image_m,image_s,zukan_no
0001,0,フシギダネ,,1,6.9,0.7,1,たねポケモン,82,0,4,8,生まれて　しばらくの　あいだ　背中の　タネに　詰まった　栄養を　取って　育つ。　（『ポケットモンスター スカーレット』より）,生まれたときから　背中に　タネを　背負っている。　体が　大きく　育つごとに　タネも　大きくなる。　（『ポケットモンスター バイオレット』より）,,3,3,3,4,4,3,0,,0,0,0,https://zukan.pokemon.co.jp/zukan-api/up/images/index/5e1db695135dd89787cfe0927d08211c.jpg,https://zukan.pokemon.co.jp/zukan-api/up/images/index/7b705082db2e24dd4ba25166dac84e0a.png,https://zukan.pokemon.co.jp/zukan-api/up/images/index/afa02eaba4c39820fc57f4e8abaeea80.png,0001
0002,0,フシギソウ,,1,13.0,1.0,1,たねポケモン,82,0,4,8,太陽の　光を　浴びるほど　体に　力が　わいて　背中の　つぼみが　育っていく。　（『ポケットモンスター スカーレット』より）,背中の　つぼみは　養分を　吸収して　ふくらむ。　花の咲くころ　いい匂いが　する。　（『ポケットモンスター バイオレット』より）,,4,4,4,5,5,4,0,,0,0,0,https://zukan.pokemon.co.jp/zukan-api/up/images/index/e28bac57dfda8f16a89dc2c04649864e.jpg,https://zukan.pokemon.co.jp/zukan-api/up/images/index/6f8144eb4659537733b930d6a299d5a7.png,https://zukan.pokemon.co.jp/zukan-api/up/images/index/f78edf4c2bc037f4b23529edfcf9ddce.png,0002
0003,0,フシギバナ,,1,100.0,2.0,1,たねポケモン,82,0,4,8,浴びた　太陽の　光を　エネルギーに　変換できるので　夏の　ほうが　強くなる。　（『ポケットモンスター スカーレット』より）,大きな　花びらを　広げ　太陽の　光を　浴びていると　体に　元気が　みなぎっていく。　（『ポケットモンスター バイオレット』より）,,5,5,5,6,6,5,0,,0,0,0,https://zukan.pokemon.co.jp/zukan-api/up/images/index/d30e9f95254b05661e27b60bbf19d486.jpg,https://zukan.pokemon.co.jp/zukan-api/up/images/index/ebccfe6f2ccfe2e851fd29739bf6220c.png,https://zukan.pokemon.co.jp/zukan-api/up/images/index/cdce516974ae6a74e1b8b855644c5ce5.png,0003
0003,1,メガフシギバナ,,1,155.5,2.4,1,たねポケモン,5,0,4,8,おおきな　はなびらを　ひろげ　たいようの　ひかりを　あびていると　からだに　げんきが　みなぎっていく。　（『ポケットモンスター Ｘ』より）,あめの　ふった　よくじつは　せなかの　はなの　かおりが　つよまる。　かおりに　さそわれ　ポケモンが　あつまる。　（『ポケットモンスター Ｙ』より）,,5,6,8,8,8,5,0,,1,0,0,https://zukan.pokemon.co.jp/zukan-api/up/images/index/6fe11ff1dc5555a4b3f27e773cdf43af.jpg,https://zukan.pokemon.co.jp/zukan-api/up/images/index/84e2faef6027fd74bc44402c7523070f.png,https://zukan.pokemon.co.jp/zukan-api/up/images/index/5109c8badb2ef84e08a429e3f2535663.png,0003-1
0003,2,フシギバナ,キョダイマックスのすがた,8,"9,999.9",24.0,1,-,82,0,4,8,２ほんの　ふとい　ツルを　ふりまわし　たたかう。　１０かいだての　ビルを　かるく　なぎたおすほど　パワフルだ。　（『ポケットモンスター ソード』より）,やまの　ふんかのような　いきおいで　ばらまく　たいりょうの　かふんは　すいこみすぎると　きを　うしなうぞ。　（『ポケットモンスター シールド』より）,,5,5,5,6,6,5,0,,0,0,1,https://zukan.pokemon.co.jp/zukan-api/up/images/index/abf52f20686d84e3a54a3ca760add3d7.jpg,https://zukan.pokemon.co.jp/zukan-api/up/images/index/52f7c01d3a5c887e6e243bef4b212aee.png,https://zukan.pokemon.co.jp/zukan-api/up/images/index/e0a15d7ddd7acb7c2d02c01ae8240b60.png,0003-2
0004,0,ヒトカゲ,,1,8.5,0.6,1,とかげポケモン,227,0,2,0,尻尾で　燃える　炎は　生命力の　表れ。　元気がないと　炎は　弱まる。　（『ポケットモンスター スカーレット』より）,尻尾の　先の　炎は　元気なら　少しくらい　濡れても　消えることなく　燃え盛る。　（『ポケットモンスター バイオレット』より）,,3,4,3,4,3,4,0,,0,0,0,https://zukan.pokemon.co.jp/zukan-api/up/images/index/2dea81f09c04ef49acf88263465e4c72.jpg,https://zukan.pokemon.co.jp/zukan-api/up/images/index/89953014f442146518ef45787d9bb0a4.png,https://zukan.pokemon.co.jp/zukan-api/up/images/index/8c45cf85becf84af9de3df62bb84a767.png,0004
0005,0,リザード,,1,19.0,1.1,1,かえんポケモン,227,0,2,0,燃える　尻尾を　振りまわすと　まわりの　温度が　どんどん　上がって　相手を　苦しめる。　（『ポケットモンスター スカーレット』より）,燃えたぎるような　性格で　いつも　戦う　相手を　探している。　勝たないと　血が　静まらない。　（『ポケットモンスター バイオレット』より）,,4,4,4,5,4,5,0,,0,0,0,https://zukan.pokemon.co.jp/zukan-api/up/images/index/cc50244cbe5cfc659d2425672089b128.jpg,https://zukan.pokemon.co.jp/zukan-api/up/images/index/f11e83606acc0f5a7aa3b7235a373087.png,https://zukan.pokemon.co.jp/zukan-api/up/images/index/12012cd4efde1bff9b2692b403bd878b.png,0005
0006,0,リザードン,,1,90.5,1.7,1,かえんポケモン,227,0,2,10,本気で　怒った　リザードンの　尻尾の　先の　炎は　青白く　燃え上がる。　（『ポケットモンスター スカーレット』より）,翼で　大空高く　舞う。　戦いの　経験を　積むほど　炎の　温度は　上がっていく。　（『ポケットモンスター バイオレット』より）,,5,5,5,7,5,6,0,,0,0,0,https://zukan.pokemon.co.jp/zukan-api/up/images/index/6860123d3a14a4918b4e947f54388c90.jpg,https://zukan.pokemon.co.jp/zukan-api/up/images/index/42062cbeca16839af3efe8a7d61ceb27a30f758b.png,https://zukan.pokemon.co.jp/zukan-api/up/images/index/a686ec5e5f6b1d9731f20626a778a0bc.png,0006
0006,1,メガリザードンＸ,,1,110.5,1.7,1,かえんポケモン,34,0,2,15,くちから　しゃくねつの　ほのおを　はきだすとき　しっぽの　さきは　より　あかく　はげしく　もえあがる。　（『ポケットモンスター Ｘ』より）,ちじょう　１４００メートル　まで　ハネを　つかって　とぶことができる。　こうねつの　ほのおを　はく。　（『ポケットモンスター Ｙ』より）,,5,8,7,8,5,6,0,,1,0,0,https://zukan.pokemon.co.jp/zukan-api/up/images/index/1857a06ab988d4ffb677219e1efbf57a.jpg,https://zukan.pokemon.co.jp/zukan-api/up/images/index/76d16e1814d038fd090a161da1d1840c.png,https://zukan.pokemon.co.jp/zukan-api/up/images/index/3e972438b54d530e82f4d63c6e4cb5bf.png,0006-1
0006,2,メガリザードンＹ,,1,100.5,1.7,1,かえんポケモン,168,0,2,10,くちから　しゃくねつの　ほのおを　はきだすとき　しっぽの　さきは　より　あかく　はげしく　もえあがる。　（『ポケットモンスター Ｘ』より）,ちじょう　１４００メートル　まで　ハネを　つかって　とぶことができる。　こうねつの　ほのおを　はく。　（『ポケットモンスター Ｙ』より）,,5,7,5,10,7,6,0,,1,0,0,https://zukan.pokemon.co.jp/zukan-api/up/images/index/67eba179365d3048db6db4dcf91ece38.jpg,https://zukan.pokemon.co.jp/zukan-api/up/images/index/0c2f066d11c448109862cec46eb62521.png,https://zukan.pokemon.co.jp/zukan-api/up/images/index/8356e6ff40700340223ea28b7b910987.png,0006-2
